task,n_labeled,n_active,roc_auc,pr_auc,balanced_accuracy
NR-AR,733,33,0.7903679653679655,0.5211025047190726,0.7244155844155844
NR-AR-LBD,687,26,0.9220877458396368,0.7209690231662594,0.8069358780402653
NR-AhR,648,69,0.9069860579209532,0.5486727618965372,0.7158143726064429
NR-Aromatase,591,30,0.7579322638146168,0.24429843733836606,0.5937611408199643
NR-ER,641,71,0.7413269088213492,0.3674179105813733,0.6180874722016308
NR-ER-LBD,706,32,0.8622032640949554,0.4836063502727626,0.6823071216617211
NR-PPAR-gamma,666,21,0.7757844222960503,0.3448507782759108,0.6374307862679955
SR-ARE,598,100,0.7732028112449799,0.5092433548406932,0.6868273092369478
SR-ATAD5,717,31,0.8591178406846609,0.4514330966674647,0.6407881124800151
SR-HSE,657,34,0.7561136814276272,0.263197445863207,0.5786044754980644
SR-MMP,592,85,0.856711915535445,0.5946169777062852,0.7165216382410953
SR-p53,699,38,0.8446930488096187,0.397872744287004,0.61236961541524
