task,n_labeled,n_active,roc_auc,pr_auc,balanced_accuracy
NR-AR,735,27,0.8414940364092907,0.5551464814130074,0.7493722536095417
NR-AR-LBD,675,24,0.8680875576036866,0.5565005280803517,0.787826420890937
NR-AhR,665,95,0.8985226223453371,0.7039802901842593,0.737719298245614
NR-Aromatase,592,30,0.770699881376038,0.41273316183310527,0.6437722419928825
NR-ER,618,73,0.6983159482216917,0.37312534142705905,0.6317833354279251
NR-ER-LBD,696,36,0.7122053872053873,0.4331807321599652,0.6845959595959596
NR-PPAR-gamma,654,15,0.6735524256651018,0.33079566351016715,0.6
SR-ARE,579,102,0.7717248324906483,0.5278398387937354,0.6873843877173511
SR-ATAD5,720,23,0.8505395795645936,0.269101734588867,0.6275653421495851
SR-HSE,633,39,0.772986272986273,0.3274379445117084,0.6429033929033929
SR-MMP,587,88,0.847524594643833,0.5958475207090566,0.7413235562033157
SR-p53,680,53,0.8453853329722247,0.41108254273409606,0.6225060937076826
